主字段,章节,等级,知识解析,拓展解析
阴阳对照表,中医基础理论::中医哲学基础::阴阳学说::在中医学中的运用,2,阳中之阳::上午、平旦至日中、夏、[[皮肤]]、[[心]]<br>###阳中之阴::下午、日中至黄昏、秋、[[肌肉]]、[[肺]]<br>###阴中之阴::前半夜、合夜至鸡鸣、冬、[[骨]]、[[肾]]<br>###阴中之阳::后半夜、鸡鸣至平旦、春、[[筋]]、[[肝]],阴中至阴::[[脾]]<br>###注意::皮肤属阳中之阳、心属阳中之阳，并非指心与皮肤相对应，不可与五行归类表相混淆
五行基本概念,中医基础理论::中医哲学基础::五行学说::基本概念,1,定义::[[木、火、土、金、水]]五类物质及其[[运动变化]],归类法::【[*取象比类法::通过观察事物形象和功能进行归类的方法*]]；【[*推演络绎法::根据已知归类推演相关事物的方法*]]
五行特性,中医基础理论::中医哲学基础::五行学说::基本概念,1,"木::""[[木曰曲直]]""→生长、柔和、能屈能伸→生长、升发、[[条达]]、舒畅<br>###火::""[[火曰炎上]]""→炎热、上升、光明→温热、上升、光明<br>###土::""[[土爰稼穑]]""→种植收获→[[生化]]、承载、受纳<br>###金::""[[金曰从革]]""→刚柔相济→沉降、[[肃杀]]、收敛<br>###水::""[[水曰润下]]""→滋润下行→滋润、下行、寒凉、[[闭藏]]",
五行五脏功能对应,中医基础理论::中医哲学基础::五行学说::基本概念,1,肝-木::主[[疏泄]]；体阴而用阳；喜条达而恶抑郁；[[刚脏]]；主升主动<br>###心-火::主[[血脉]]，温煦全身；主[[神明]]<br>###脾-土::运化水谷；运化水液；为[[气血生化之源]]<br>###肺-金::[[肃降]]。主呼吸、通调水道输布水液<br>###肾-水::主[[藏精]]；主水,
五行归类-木,中医基础理论::中医哲学基础::五行学说::基本概念,2,五味::[[酸]]<br>###五色::[[青]]<br>###五脏::[[肝]]<br>###五腑::[[胆]]<br>###五官::[[目]]<br>###形体::[[筋]]<br>###情志::[[怒]],五音::角<br>###五化::生<br>###五气::风<br>###方位::东<br>###季节::春<br>###五声::呼<br>###变动::握
五行归类-火,中医基础理论::中医哲学基础::五行学说::基本概念,2,五味::[[苦]]<br>###五色::[[赤]]<br>###五脏::[[心]]<br>###五腑::[[小肠]]<br>###五官::[[舌]]<br>###形体::[[脉]]<br>###情志::[[喜]],五音::徵<br>###五化::长<br>###五气::暑<br>###方位::南<br>###季节::夏<br>###五声::笑<br>###变动::忧
五行归类-土,中医基础理论::中医哲学基础::五行学说::基本概念,2,五味::[[甘]]<br>###五色::[[黄]]<br>###五脏::[[脾]]<br>###五腑::[[胃]]<br>###五官::[[口]]<br>###形体::[[肉]]<br>###情志::[[思]],五音::宫<br>###五化::化<br>###五气::湿<br>###方位::中<br>###季节::长夏<br>###五声::歌<br>###变动::哕
五行归类-金,中医基础理论::中医哲学基础::五行学说::基本概念,2,五味::[[辛]]<br>###五色::[[白]]<br>###五脏::[[肺]]<br>###五腑::[[大肠]]<br>###五官::[[鼻]]<br>###形体::[[皮]]<br>###情志::[[悲]],五音::商<br>###五化::收<br>###五气::燥<br>###方位::西<br>###季节::秋<br>###五声::哭<br>###变动::咳
五行归类-水,中医基础理论::中医哲学基础::五行学说::基本概念,2,五味::[[咸]]<br>###五色::[[黑]]<br>###五脏::[[肾]]<br>###五腑::[[膀胱]]<br>###五官::[[耳]]<br>###形体::[[骨]]<br>###情志::[[恐]],五音::羽<br>###五化::藏<br>###五气::寒<br>###方位::北<br>###季节::冬<br>###五声::呻<br>###变动::栗
相生,中医基础理论::中医哲学基础::五行学说::生克乘侮,1,"定义::五行中某一行对其[[子行]]的资生、促进与助长<br>###次序::[[木生火→火生土→土生金→金生水→水生木]]<br>###关系::""生我""者为[[母]]，""我生""者为[[子]]",举例::木生火：木为火之母，火为木之子
相克,中医基础理论::中医哲学基础::五行学说::生克乘侮,1,"定义::五行之间存在有序的[[递相克制、制约]]关系<br>###次序::[[木克土→土克水→水克火→火克金→金克木]]<br>###关系::""克我""者为[[所不胜]]，""我克""者为[[所胜]]",举例::木克土：木为土之所不胜，土为木之所胜
制化,中医基础理论::中医哲学基础::五行学说::生克乘侮,1,"定义::五行间相互资生、相互制约，维持平衡，推动稳定发展<br>###原理::""[[亢则害，承乃制，制则生化]]""——一行亢盛必然随之制约，防止亢而为害","名言::""盖造化之机，不可无生，亦不可无制。无生则发育无由，无制则亢而为害"""
胜复,中医基础理论::中医哲学基础::五行学说::生克乘侮,2,"定义::一行亢盛（[[胜气]]），引起其所不胜一行（[[复气]]）的报复性制约，使五行复归协调稳定<br>###规律::""有胜则复""；""微者复微，甚者复甚""","机制::按相克规律的自我调节机制<br>###别称::又称""[[子复母仇]]""——如木为胜气，金为复气（木克土→土生金→金克木）"
相乘,中医基础理论::中医哲学基础::五行学说::生克乘侮,1,"定义::一行对其所胜的[[过度制约与克制]]，又称""[[倍克]]""<br>###次序::木乘土、土乘水、水乘火、火乘金、金乘木<br>###原因::①[[太过]]：某脏过盛致所胜受过分克伐（如木旺乘土）；②[[不及]]：某脏过弱不能耐受所不胜正常克制（如土虚木乘）","病情::""所不胜……邪气挟其力而来，残削必甚，故为[[贼邪]]""——相乘时病情较[[深重]]"
相侮,中医基础理论::中医哲学基础::五行学说::生克乘侮,1,"定义::一行对其所不胜的[[反向制约与克制]]，即""[[反克]]""<br>###次序::木侮金、火侮水、水侮土、土侮木、金侮火<br>###原因::①[[太过]]：某脏盛致所不胜无力克制反被克（如木反侮金/木火刑金）；②[[不及]]：某脏虚致其所胜出现反克（如木虚土侮）","病情::""所胜……邪气亦不能深入，故为[[微邪]]""——相侮时病情较[[轻浅]]<br>###原文::""气有余，则制己所胜""（相乘）；""气有余，则侮所不胜""（相侮）"
母病及子,中医基础理论::中医哲学基础::五行学说::生克乘侮,1,"定义::一行异常累及[[子行]]，导致子母两行皆异常<br>###规律::多为母行虚弱引起子行不足，[[母虚导致母子皆虚]]<br>###病情::""邪扶生气而来，虽进而易退""——母病及子病情[[轻浅]]","治则::""虚则补其母，实则泻其子"""
子病及母,中医基础理论::中医哲学基础::五行学说::生克乘侮,1,定义::一行异常影响到[[母行]]，导致子母两行皆异常<br>###类型::①[[子病犯母]]：子行亢盛引起母行亢盛，母子皆盛；②子行虚弱导致母行虚弱，子母俱不足；③[[子盗母气]]：子行亢盛损伤母行，子盛母衰,"病情::""受我之气者，其力方旺，还而相克，来势必甚""——子病及母病情较[[深重]]<br>###治则::""虚则补其母，实则泻其子"""
中土五行,中医基础理论::中医哲学基础::五行学说::生克乘侮,3,"定义::五行学说的另一种模型<br>###土位::土与木、火、金、水四行关系：""土与木、火、金、水杂以成百物""<br>###四行::木、火、金、水四行之间的关系：[[递进发展]]",
说明五脏生理-资生关系,中医基础理论::中医哲学基础::五行学说::在中医学中的应用,1,木生火::肝藏血[[济心]]，肝之疏泄助心行血<br>###火生土::[[心阳温脾土]]，助脾运化<br>###土生金::脾气运化以[[充肺]]<br>###金生水::肺之精津下行[[滋肾精]]，肺气肃降助肾纳气<br>###水生木::肾藏精[[滋养肝血]]，肾阴资助肝阴防止肝阳上亢,
说明五脏生理-制约关系,中医基础理论::中医哲学基础::五行学说::在中医学中的应用,1,水克火::肾水上济于心，防止心火过烈<br>###火克金::心火阳热抑制肺气清肃太过<br>###金克木::肺气清肃抑制肝阳上亢<br>###木克土::肝气条达疏泄脾气壅塞<br>###土克水::脾之运化水液可防肾水泛滥,"名言::""心……其主肾也""""肺……其主心也""""脾……其主肝也""""肾……其主脾也""——""主""指制约（相克），克中有生，制则生化"
五脏病变-相生传变,中医基础理论::中医哲学基础::五行学说::在中医学中的应用,1,母病及子::肝病及心、心病及脾、脾病及肺、肺病及肾、肾病及肝<br>###子病及母::肝病及肾、肾病及肺、肺病及脾、脾病及心、心病及肝,举例母及子::肾病及肝：①肾精虚→肝肾精血亏虚；②肾阴虚→肝阳上亢；③肾阳虚→肝阳虚少腹冷痛<br>###举例子及母::心病及肝：心血虚累及肝血虚→心肝血虚；心火旺引动肝火→心肝火旺（泻子）
五脏病变-相乘,中医基础理论::中医哲学基础::五行学说::在中医学中的应用,1,定义::相克太过致病<br>###太过::[[木旺乘土]]：肝郁或肝逆致脾胃运化失常，见胸胁苦满、脘腹胀痛、泛酸、泄泻<br>###不及::[[土虚木乘]]：先脾胃虚弱，后不能耐受肝气克伐，见头晕乏力、纳呆、腹痛泄泻,"名言::""[[见肝之病，知肝传脾]]""属于木旺乘土"
五脏病变-相侮,中医基础理论::中医哲学基础::五行学说::在中医学中的应用,1,定义::反向克制致病<br>###太过::[[木火刑金]]：暴怒肝火犯肺，急躁易怒、面红目赤、甚咳逆上气、咯血<br>###不及::[[土虚水侮]]：脾土虚衰不能制约肾水,
指导疾病诊断,中医基础理论::中医哲学基础::五行学说::在中医学中的应用,2,原则::判部位、定相兼、判预后<br>###举例::面青喜酸脉弦→肝病；面赤口苦脉洪→心病；脾虚面见青色→肝病犯脾；心病面见黑色→水气凌心,季节::可阐发五脏病与季节的关系，如春多肝病等
指导疾病治疗,中医基础理论::中医哲学基础::五行学说::在中医学中的应用,1,"用药::根据五色五味指导脏腑用药<br>###传变::""[[见肝之病，知肝传脾，当先实脾]]""——控制疾病的传变<br>###原则::确定治则治法",
指导针灸与情志治疗,中医基础理论::中医哲学基础::五行学说::在中医学中的应用,2,"针灸::井、荥、输、经、合""[[五输穴]]""分别配属木火土金水五行<br>###情志::""怒伤肝，[[悲胜怒]]""""喜伤心，[[恐胜喜]]""""思伤脾，[[怒胜思]]""""忧伤肺，[[喜胜忧]]""""恐伤肾，[[思胜恐]]""",
相生治则-补母泻子,中医基础理论::中医哲学基础::五行学说::治则治法,1,虚则补母::适用于母子关系的虚证——如肝血不足，除补肝血外还可[[补肾]]资助<br>###实则泻子::适用于母子关系的实证——如肝火盛，除清肝火外还可通过[[清心火]]助清肝火,难点::心火亢盛引动肝火→虽为心肝火旺，按五行理论仍应选用治则[[泻子]]
滋水涵木,中医基础理论::中医哲学基础::五行学说::治则治法,1,别名::滋补肝肾、滋肾养肝<br>###治法::滋肾阴养肝阴、肝血<br>###适应证::[[水不涵木]]：肾阴虚致肝阴虚，甚肝阳上亢，见眩晕、眼干目涩、五心烦热,
益火补土,中医基础理论::中医哲学基础::五行学说::治则治法,1,别名::温肾健脾、温补脾肾<br>###治法::温肾阳补脾阳<br>###适应证::肾阳虚不能温脾，以致脾阳不振，见畏寒肢冷、纳差腹胀、泄泻浮肿,"注意::就五行生克而言，火不生土应为心火不生脾土。但命门学说兴起后，""火不生土""多指[[命门之火（肾阳）]]不能温煦脾土，很少指心火与脾阳关系"
培土生金,中医基础理论::中医哲学基础::五行学说::治则治法,1,别名::补养肺脾<br>###治法::补脾生气以补益肺气<br>###适应证::脾气虚致肺气虚；或肺气虚兼脾运不健，见久咳痰多清稀、食欲减退、便溏肢乏,
金水相生,中医基础理论::中医哲学基础::五行学说::治则治法,1,别名::滋养肺肾、滋肺益肾<br>###治法::滋养肺肾之阴<br>###适应证::[[肺肾阴虚证]]：肺阴虚不能养肾阴或肾阴虚不能养肺阴，见干咳咯血、骨蒸潮热、口干盗汗、腰酸,
相克治则-抑强扶弱,中医基础理论::中医哲学基础::五行学说::治则治法,1,抑强::适用于相克[[太过]]引起的相乘相侮——如木旺乘土（肝脾不调），治以疏肝平肝为主<br>###扶弱::适用于相克[[不及]]引起的相乘相侮——如土虚木乘（肝旺脾虚），治以健脾益气为主,
抑木扶土,中医基础理论::中医哲学基础::五行学说::治则治法,1,别名::疏肝健脾、平肝和胃、调理肝脾<br>###治法::疏肝泄肝结合健脾补中<br>###适应证::[[木旺乘土]]（抑木为主）：肝气犯脾、肝气犯胃；[[土虚木乘]]（扶土为主）：肝旺脾虚,
